country,country_code,region_no,region_long,region_short
Afghanistan,AFG,7,EMR D,EMR
Albania,ALB,9,EUR B,EUR
Algeria,DZA,1,AFR D,AFR
Andorra,AND,8,EUR A,EUR
Angola,AGO,1,AFR D,AFR
Antigua And Barbuda,ATG,4,AMR B,AMR
Argentina,ARG,4,AMR B,AMR
Armenia,ARM,9,EUR B,EUR
Australia,AUS,13,WPR A,WPR
Austria,AUT,8,EUR A,EUR
Azerbaijan,AZE,9,EUR B,EUR
Bahamas,BHS,4,AMR B,AMR
Bahrain,BHR,6,EMR B,EMR
Bangladesh,BGD,12,SEAR D,SEAR
Barbados,BRB,4,AMR B,AMR
Belarus,BLR,10,EUR C,EUR
Belgium,BEL,8,EUR A,EUR
Belize,BLZ,4,AMR B,AMR
Benin,BEN,1,AFR D,AFR
Bhutan,BTN,12,SEAR D,SEAR
Bolivia (Plurinational State of),BOL,5,AMR D,AMR
Bosnia And Herzegovina,BIH,9,EUR B,EUR
Botswana,BWA,2,AFR E,AFR
Brazil,BRA,4,AMR B,AMR
Brunei Darussalam,BRN,13,WPR A,WPR
Bulgaria,BGR,9,EUR B,EUR
Burkina Faso,BFA,1,AFR D,AFR
Burundi,BDI,2,AFR E,AFR
Cambodia,KHM,14,WPR B,WPR
Cameroon,CMR,1,AFR D,AFR
Canada,CAN,3,AMR A,AMR
Cabo Verde,CPV,1,AFR D,AFR
Central African Republic,CAF,2,AFR E,AFR
Chad,TCD,1,AFR D,AFR
Chile,CHL,4,AMR B,AMR
China,CHN,14,WPR B,WPR
Colombia,COL,4,AMR B,AMR
Comoros,COM,1,AFR D,AFR
Congo,COG,2,AFR E,AFR
Democratic Republic of the Congo,COD,2,AFR E,AFR
Cook Islands,COK,14,WPR B,WPR
Costa Rica,CRI,4,AMR B,AMR
Cote d'Ivoire,CIV,2,AFR E,AFR
Croatia,HRV,8,EUR A,EUR
Cuba,CUB,3,AMR A,AMR
Cyprus,CYP,6,EMR B,EMR
Czechia,CZE,8,EUR A,EUR
Democratic People's Republic of Korea,PRK,12,SEAR D,SEAR
Democratic Republic Of The Congo,COD,2,AFR E,AFR
Denmark,DNK,8,EUR A,EUR
Djibouti,DJI,7,EMR D,EMR
Dominica,DMA,4,AMR B,AMR
Dominican Republic,DOM,4,AMR B,AMR
Ecuador,ECU,5,AMR D,AMR
Egypt,EGY,7,EMR D,EMR
El Salvador,SLV,4,AMR B,AMR
Equatorial Guinea,GNQ,1,AFR D,AFR
Eritrea,ERI,2,AFR E,AFR
Estonia,EST,10,EUR C,EUR
Ethiopia,ETH,2,AFR E,AFR
Fiji,FJI,14,WPR B,WPR
Finland,FIN,8,EUR A,EUR
France,FRA,8,EUR A,EUR
Gabon,GAB,1,AFR D,AFR
Gambia,GMB,1,AFR D,AFR
Georgia,GEO,9,EUR B,EUR
Germany,DEU,8,EUR A,EUR
Ghana,GHA,1,AFR D,AFR
Greece,GRC,8,EUR A,EUR
Grenada,GRD,4,AMR B,AMR
Guatemala,GTM,5,AMR D,AMR
Guinea,GIN,1,AFR D,AFR
Guinea-Bissau,GNB,1,AFR D,AFR
Guyana,GUY,4,AMR B,AMR
Haiti,HTI,5,AMR D,AMR
Honduras,HND,4,AMR B,AMR
Hungary,HUN,10,EUR C,EUR
Iceland,ISL,8,EUR A,EUR
India,IND,12,SEAR D,SEAR
Indonesia,IDN,11,SEAR B,SEAR
Iran (Islamic Republic Of),IRN,6,EMR B,EMR
Iraq,IRQ,7,EMR D,EMR
Ireland,IRL,8,EUR A,EUR
Israel,ISR,8,EUR A,EUR
Italy,ITA,8,EUR A,EUR
Jamaica,JAM,4,AMR B,AMR
Japan,JPN,13,WPR A,WPR
Jordan,JOR,6,EMR B,EMR
Kazakhstan,KAZ,10,EUR C,EUR
Kenya,KEN,2,AFR E,AFR
Kiribati,KIR,14,WPR B,WPR
Kuwait,KWT,6,EMR B,EMR
Kyrgyzstan,KGZ,9,EUR B,EUR
Lao People's Democratic Republic,LAO,14,WPR B,WPR
Latvia,LVA,10,EUR C,EUR
Lebanon,LBN,6,EMR B,EMR
Lesotho,LSO,2,AFR E,AFR
Liberia,LBR,1,AFR D,AFR
Libya,LBY,6,EMR B,EMR
Lithuania,LTU,10,EUR C,EUR
Luxembourg,LUX,8,EUR A,EUR
"Macedonia, The Former Yugoslav Republic Of",XXX,9,EUR B,EUR
Madagascar,MDG,1,AFR D,AFR
Malawi,MWI,2,AFR E,AFR
Malaysia,MYS,14,WPR B,WPR
Maldives,MDV,12,SEAR D,SEAR
Mali,MLI,1,AFR D,AFR
Malta,MLT,8,EUR A,EUR
Marshall Islands,MHL,14,WPR B,WPR
Mauritania,MRT,1,AFR D,AFR
Mauritius,MUS,1,AFR D,AFR
Mexico,MEX,4,AMR B,AMR
Micronesia (Federated States Of),FSM,14,WPR B,WPR
Monaco,MCO,8,EUR A,EUR
Mongolia,MNG,14,WPR B,WPR
The former state union Serbia and Montenegro,ME1,9,EUR B,EUR
Morocco,MAR,7,EMR D,EMR
Mozambique,MOZ,2,AFR E,AFR
Myanmar,MMR,12,SEAR D,SEAR
Namibia,NAM,2,AFR E,AFR
Nauru,NRU,14,WPR B,WPR
Nepal,NPL,12,SEAR D,SEAR
Netherlands (Kingdom of the),NLD,8,EUR A,EUR
New Zealand,NZL,13,WPR A,WPR
Nicaragua,NIC,5,AMR D,AMR
Niger,NER,1,AFR D,AFR
Nigeria,NGA,1,AFR D,AFR
Niue,NIU,14,WPR B,WPR
North Macedonia,MKD,9,EUR B,EUR
Norway,NOR,8,EUR A,EUR
Oman,OMN,6,EMR B,EMR
Pakistan,PAK,7,EMR D,EMR
Palau,PLW,14,WPR B,WPR
Panama,PAN,4,AMR B,AMR
Papua New Guinea,PNG,14,WPR B,WPR
Paraguay,PRY,4,AMR B,AMR
Peru,PER,5,AMR D,AMR
Philippines,PHL,14,WPR B,WPR
Poland,POL,9,EUR B,EUR
Portugal,PRT,8,EUR A,EUR
Qatar,QAT,6,EMR B,EMR
Republic Of Korea,KOR,14,WPR B,WPR
Republic Of Moldova,MDA,10,EUR C,EUR
Romania,ROU,9,EUR B,EUR
Russian Federation,RUS,10,EUR C,EUR
Rwanda,RWA,2,AFR E,AFR
Saint Kitts And Nevis,KNA,4,AMR B,AMR
Saint Lucia,LCA,4,AMR B,AMR
Saint Vincent And The Grenadines,VCT,4,AMR B,AMR
Samoa,WSM,14,WPR B,WPR
San Marino,SMR,8,EUR A,EUR
Sao Tome And Principe,STP,1,AFR D,AFR
Saudi Arabia,SAU,6,EMR B,EMR
Senegal,SEN,1,AFR D,AFR
Serbia,SRB,9,EUR B,EUR
Seychelles,SYC,1,AFR D,AFR
Sierra Leone,SLE,1,AFR D,AFR
Singapore,SGP,13,WPR A,WPR
Slovakia,SVK,9,EUR B,EUR
Slovenia,SVN,8,EUR A,EUR
Somalia,SOM,7,EMR D,EMR
Solomon Islands,SLB,14,WPR B,WPR
South Africa,ZAF,2,AFR E,AFR
Spain,ESP,8,EUR A,EUR
Sri Lanka,LKA,11,SEAR B,SEAR
Sudan,SDN,7,EMR D,EMR
Suriname,SUR,4,AMR B,AMR
Eswatini,SWZ,2,AFR E,AFR
Sweden,SWE,8,EUR A,EUR
Switzerland,CHE,8,EUR A,EUR
Syrian Arab Republic,SYR,6,EMR B,EMR
United Republic of Tanzania,TZA,2,AFR E,AFR
Tajikistan,TJK,9,EUR B,EUR
Thailand,THA,11,SEAR B,SEAR
Timor-Leste,TLS,11,SEAR B,SEAR
Togo,TGO,1,AFR D,AFR
Tonga,TON,14,WPR B,WPR
Trinidad And Tobago,TTO,4,AMR B,AMR
Tunisia,TUN,6,EMR B,EMR
Turkiye,TUR,9,EUR B,EUR
Turkmenistan,TKM,9,EUR B,EUR
Tuvalu,TUV,14,WPR B,WPR
Uganda,UGA,2,AFR E,AFR
Ukraine,UKR,10,EUR C,EUR
United Arab Emirates,ARE,6,EMR B,EMR
United Kingdom of Great Britain and Northern Ireland,GBR,8,EUR A,EUR
United Republic of Tanzania,TZA,2,AFR E,AFR
United States Of America,USA,3,AMR A,AMR
Uruguay,URY,4,AMR B,AMR
Uzbekistan,UZB,9,EUR B,EUR
Vanuatu,VUT,14,WPR B,WPR
Venezuela (Bolivarian Republic of),VEN,4,AMR B,AMR
Viet Nam,VNM,14,WPR B,WPR
Yemen,YEM,7,EMR D,EMR
Zambia,ZMB,2,AFR E,AFR
Zimbabwe,ZWE,2,AFR E,AFR
